,data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,totale_positivi,variazione_totale_positivi,nuovi_positivi,deceduti,totale_casi,ingressi_terapia_intensiva
124,2020-02-29T17:00:00,Valle d'Aosta,0,0,0,0,0,0,0,0,
125,2020-02-29T17:00:00,Veneto,24,11,35,189,40,40,2,191,
126,2020-03-01T17:00:00,Abruzzo,3,0,3,5,3,3,0,5,
127,2020-03-01T17:00:00,Basilicata,0,0,0,0,0,0,0,0,
128,2020-03-01T17:00:00,Calabria,0,0,0,1,0,0,0,1,
129,2020-03-01T17:00:00,Campania,4,0,4,17,4,4,0,17,
130,2020-03-01T17:00:00,Emilia-Romagna,127,13,140,277,64,68,8,285,
131,2020-03-01T17:00:00,Friuli Venezia Giulia,0,0,0,6,6,6,0,6,
132,2020-03-01T17:00:00,Lazio,3,0,3,3,0,0,0,6,
133,2020-03-01T17:00:00,Liguria,12,1,13,21,-17,-17,0,25,
134,2020-03-01T17:00:00,Lombardia,406,106,512,887,335,369,24,984,
135,2020-03-01T17:00:00,Marche,12,5,17,25,14,14,0,25,
136,2020-03-01T17:00:00,Molise,0,0,0,0,0,0,0,0,
137,2020-03-01T17:00:00,P.A. Bolzano,1,0,1,1,0,0,0,1,
138,2020-03-01T17:00:00,P.A. Trento,0,0,0,0,0,0,0,0,
139,2020-03-01T17:00:00,Piemonte,11,2,13,49,38,38,0,49,
140,2020-03-01T17:00:00,Puglia,1,0,1,3,0,0,0,3,
141,2020-03-01T17:00:00,Sardegna,0,0,0,0,0,0,0,0,
142,2020-03-01T17:00:00,Sicilia,1,0,1,7,5,5,0,9,
143,2020-03-01T17:00:00,Toscana,7,0,7,12,2,2,0,13,
144,2020-03-01T17:00:00,Umbria,0,0,0,2,2,2,0,2,
145,2020-03-01T17:00:00,Valle d'Aosta,0,0,0,0,0,0,0,0,
146,2020-03-01T17:00:00,Veneto,51,13,64,261,72,72,2,263,
147,2020-03-02T18:00:00,Abruzzo,3,0,3,5,0,0,0,5,
148,2020-03-02T18:00:00,Basilicata,0,0,0,0,0,0,0,0,
149,2020-03-02T18:00:00,Calabria,0,0,0,1,0,0,0,1,
150,2020-03-02T18:00:00,Campania,4,0,4,17,0,0,0,17,
151,2020-03-02T18:00:00,Emilia-Romagna,148,16,164,324,47,50,11,335,
152,2020-03-02T18:00:00,Friuli Venezia Giulia,0,0,0,9,3,3,0,9,
153,2020-03-02T18:00:00,Lazio,3,0,3,4,1,1,0,7,
154,2020-03-02T18:00:00,Liguria,12,1,13,18,-3,-3,0,22,
155,2020-03-02T18:00:00,Lombardia,478,127,605,1077,190,270,38,1254,
156,2020-03-02T18:00:00,Marche,17,6,23,34,9,10,1,35,
157,2020-03-02T18:00:00,Molise,0,0,0,0,0,0,0,0,
158,2020-03-02T18:00:00,P.A. Bolzano,1,0,1,1,0,0,0,1,
159,2020-03-02T18:00:00,P.A. Trento,0,0,0,0,0,0,0,0,
160,2020-03-02T18:00:00,Piemonte,12,2,14,51,2,2,0,51,
161,2020-03-02T18:00:00,Puglia,2,0,2,4,1,1,0,4,
162,2020-03-02T18:00:00,Sardegna,0,0,0,0,0,0,0,0,
163,2020-03-02T18:00:00,Sicilia,2,0,2,5,-2,-2,0,7,
164,2020-03-02T18:00:00,Toscana,7,0,7,12,0,0,0,13,
165,2020-03-02T18:00:00,Umbria,0,0,0,2,0,0,0,2,
166,2020-03-02T18:00:00,Valle d'Aosta,0,0,0,0,0,0,0,0,
